fl_date,mkt_unique_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,crs_elapsed_time,air_time,distance
2018-06-01,AS,2001,QX,N450QX,2001,16101,YKM,"Yakima, WA",14747,SEA,"Seattle, WA",500,459,-1,6,505,535,5,539,540,1,39,30,103
2018-01-01,AS,37,AS,N409AS,37,13487,MSP,"Minneapolis, MN",14747,SEA,"Seattle, WA",1622,1632,10,21,1653,1801,7,1828,1808,-20,246,188,1399
2018-10-01,AS,3297,KS,N682PA,3297,11445,DUT,"Unalaska, AK",10299,ANC,"Anchorage, AK",1810,1809,-1,2,1811,2024,3,2040,2027,-13,150,133,792
2018-07-01,AS,2003,QX,N413QX,2003,16101,YKM,"Yakima, WA",14747,SEA,"Seattle, WA",1523,1546,23,4,1550,1620,9,1607,1629,22,44,30,103
2018-05-01,AS,3330,OO,N179SY,3330,11259,DAL,"Dallas, TX",11278,DCA,"Washington, DC",630,618,-12,14,632,1002,3,1018,1005,-13,168,150,1184
2018-06-01,AS,2030,QX,N443QX,2030,14747,SEA,"Seattle, WA",13127,LWS,"Lewiston, ID",940,934,-6,7,941,1025,6,1046,1031,-15,66,44,261
2018-02-01,AS,3303,OO,N176SY,3303,15376,TUS,"Tucson, AZ",14831,SJC,"San Jose, CA",749,735,-14,24,759,850,7,919,857,-22,150,111,722
2018-11-01,AS,2,AS,N526AS,2,14747,SEA,"Seattle, WA",11278,DCA,"Washington, DC",1340,1338,-2,18,1356,2120,4,2151,2124,-27,311,264,2329
2018-09-01,AS,3286,KS,N687PA,3286,10299,ANC,"Anchorage, AK",11445,DUT,"Unalaska, AK",1335,1334,-1,2,1336,1542,3,1550,1545,-5,135,126,792
2018-08-01,AS,2,AS,N592AS,2,14747,SEA,"Seattle, WA",11278,DCA,"Washington, DC",1347,1358,11,15,1413,2216,2,2158,2218,20,311,303,2329
2018-01-01,AS,36,AS,N409AS,36,14747,SEA,"Seattle, WA",13487,MSP,"Minneapolis, MN",1000,951,-9,45,1036,1529,4,1521,1533,12,201,173,1399
2018-08-01,AS,35,AS,N492AS,35,11697,FLL,"Fort Lauderdale, FL",14747,SEA,"Seattle, WA",1904,2051,107,14,2105,2355,8,2235,3,88,391,350,2717
2018-01-01,AS,65,AS,N611AS,65,12523,JNU,"Juneau, AK",10299,ANC,"Anchorage, AK",1344,1354,10,28,1422,1550,4,1527,1554,27,103,88,571
2018-10-01,AS,20,AS,N280AK,20,14747,SEA,"Seattle, WA",13930,ORD,"Chicago, IL",45,47,2,11,58,609,16,655,625,-30,250,191,1721
2018-05-01,AS,3329,OO,N179SY,3329,11259,DAL,"Dallas, TX",14831,SJC,"San Jose, CA",1410,1403,-7,15,1418,1606,7,1625,1613,-12,255,228,1450
2018-06-01,AS,2021,QX,N443QX,2021,10275,ALW,"Walla Walla, WA",14747,SEA,"Seattle, WA",1859,1855,-4,12,1907,2000,5,2001,2005,4,62,53,213
2018-07-01,AS,2004,QX,N439QX,2004,14747,SEA,"Seattle, WA",16101,YKM,"Yakima, WA",2314,2312,-2,9,2321,2347,2,2356,2349,-7,42,26,103
2018-11-01,AS,10,AS,N467AS,10,14747,SEA,"Seattle, WA",13204,MCO,"Orlando, FL",2120,2127,7,12,2139,526,8,544,534,-10,324,287,2554
2018-07-01,AS,2001,QX,N438QX,2001,16101,YKM,"Yakima, WA",14747,SEA,"Seattle, WA",500,451,-9,6,457,526,5,539,531,-8,39,29,103
2018-05-01,AS,3364,OO,N187SY,3364,14831,SJC,"San Jose, CA",12892,LAX,"Los Angeles, CA",1034,1023,-11,21,1044,1138,18,1208,1156,-12,94,54,308
2018-12-01,AS,17,AS,N434AS,17,14100,PHL,"Philadelphia, PA",14747,SEA,"Seattle, WA",1645,1657,12,20,1717,1919,6,1956,1925,-31,371,302,2378
2018-12-01,AS,16,AS,N292AK,16,14747,SEA,"Seattle, WA",13204,MCO,"Orlando, FL",810,801,-9,24,825,1636,28,1648,1704,16,338,311,2554
2018-11-01,AS,1,AS,N528AS,1,11278,DCA,"Washington, DC",14747,SEA,"Seattle, WA",800,757,-3,23,820,1059,6,1100,1105,5,360,339,2329
2018-03-01,AS,3310,OO,N174SY,3310,14747,SEA,"Seattle, WA",14057,PDX,"Portland, OR",1854,1850,-4,11,1901,1934,5,1949,1939,-10,55,33,129
2018-12-01,AS,50,AS,N644AS,50,14709,SCC,"Deadhorse, AK",10754,BRW,"Barrow, AK",1725,1813,48,13,1826,1907,4,1816,1911,55,51,41,204
2018-02-01,AS,3356,OO,N177SY,3356,14057,PDX,"Portland, OR",13891,ONT,"Ontario, CA",850,844,-6,13,857,1048,5,1112,1053,-19,142,111,838
2018-11-01,AS,3,AS,N585AS,3,11278,DCA,"Washington, DC",14747,SEA,"Seattle, WA",1855,1837,-18,17,1854,2132,5,2151,2137,-14,356,338,2329
2018-12-01,AS,18,AS,N552AS,18,14747,SEA,"Seattle, WA",12478,JFK,"New York, NY",2150,2156,6,23,2219,631,11,604,642,38,314,312,2422
2018-02-01,AS,3300,OO,N189SY,3300,14831,SJC,"San Jose, CA",10423,AUS,"Austin, TX",840,827,-13,18,845,1403,4,1400,1407,7,200,198,1476
2019-12-01,AS,2087,QX,N403QX,2087,10275,ALW,"Walla Walla, WA",14747,SEA,"Seattle, WA",500,517,17,6,523,605,6,607,611,4,67,42,213
2019-01-01,AS,3368,OO,N185SY,3368,14831,SJC,"San Jose, CA",10423,AUS,"Austin, TX",1805,1805,0,24,1829,2341,5,2337,2346,9,212,192,1476
2019-05-01,AS,4,AS,N581AS,4,14747,SEA,"Seattle, WA",11278,DCA,"Washington, DC",810,804,-6,20,824,1606,4,1625,1610,-15,315,282,2329
2019-02-01,AS,3297,KS,N687PA,3297,11445,DUT,"Unalaska, AK",10299,ANC,"Anchorage, AK",1810,1809,-1,3,1812,2015,4,2040,2019,-21,150,123,792
2019-11-01,AS,3307,OO,N183SY,3307,14869,SLC,"Salt Lake City, UT",14057,PDX,"Portland, OR",1940,1933,-7,10,1943,2017,5,2045,2022,-23,125,94,630
2019-02-01,AS,1,AS,N534AS,1,11278,DCA,"Washington, DC",14747,SEA,"Seattle, WA",800,754,-6,28,822,1057,8,1105,1105,0,365,335,2329
2019-04-01,AS,2038,QX,N637QX,2038,14747,SEA,"Seattle, WA",12278,ICT,"Wichita, KS",1140,1139,-1,44,1223,1704,4,1710,1708,-2,210,161,1430
2019-09-01,AS,3310,OO,N403SY,3310,14057,PDX,"Portland, OR",10800,BUR,"Burbank, CA",1505,1455,-10,10,1505,1709,4,1725,1713,-12,140,124,817
2019-04-01,AS,2001,QX,N436QX,2001,16101,YKM,"Yakima, WA",14747,SEA,"Seattle, WA",500,455,-5,7,502,526,3,545,529,-16,45,24,103
2019-09-01,AS,3305,OO,N170SY,3305,14057,PDX,"Portland, OR",14893,SMF,"Sacramento, CA",1625,1618,-7,13,1631,1743,4,1800,1747,-13,95,72,479
2019-02-01,AS,3296,KS,N687PA,3296,10299,ANC,"Anchorage, AK",11445,DUT,"Unalaska, AK",1515,1510,-5,4,1514,1736,3,1730,1739,9,135,142,792
2019-05-01,AS,8,AS,N264AK,8,14747,SEA,"Seattle, WA",11618,EWR,"Newark, NJ",740,735,-5,22,757,1545,12,1610,1557,-13,330,288,2402
2019-03-01,AS,36,AS,N413AS,36,14747,SEA,"Seattle, WA",13487,MSP,"Minneapolis, MN",1025,1023,-2,17,1040,1528,15,1545,1543,-2,200,168,1399
2019-08-01,AS,3300,OO,N177SY,3300,14831,SJC,"San Jose, CA",10423,AUS,"Austin, TX",955,1004,9,13,1017,1538,4,1540,1542,2,225,201,1476
2019-07-01,AS,3341,OO,N176SY,3341,14869,SLC,"Salt Lake City, UT",14747,SEA,"Seattle, WA",545,540,-5,14,554,633,7,700,640,-20,135,99,689
2019-03-01,AS,38,AS,N548AS,38,14747,SEA,"Seattle, WA",11697,FLL,"Fort Lauderdale, FL",820,851,31,23,914,1711,3,1705,1714,9,345,297,2717
