fl_date,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,dep_delay,taxi_out,taxi_in,air_time,distance,arr_delay
2018-07-01,B6,221,B6,N507JB,221,10721,BOS,14027,PBI,22,20,3,151,1197,5
2018-12-01,B6,2625,B6,N355JB,2625,14492,RDU,11697,FLL,-1,14,4,99,680,-4
2018-02-01,B6,19,B6,N984JB,19,10721,BOS,14679,SAN,-2,19,2,359,2588,-17
2018-04-01,B6,6,B6,N583JB,6,11697,FLL,11618,EWR,14,22,9,142,1065,5
2018-12-01,B6,2127,B6,N304JB,2127,10721,BOS,10821,BWI,75,18,4,66,369,73
2018-11-01,B6,1210,B6,N358JB,1210,12451,JAX,10721,BOS,-12,13,5,119,1010,-25
2018-05-01,B6,14,B6,N559JB,14,12954,LGB,12478,JFK,-4,10,5,286,2465,-19
2018-06-01,B6,1183,B6,N970JB,1183,12478,JFK,13204,MCO,17,34,10,130,944,0
2018-07-01,B6,135,B6,N708JB,135,12478,JFK,14107,PHX,-3,50,3,282,2153,-8
2018-12-01,B6,2116,B6,N348JB,2116,12451,JAX,11278,DCA,-9,14,3,80,634,-16
2018-11-01,B6,532,B6,N613JB,532,12954,LGB,14869,SLC,-11,10,2,92,588,-9
2018-02-01,B6,21,B6,N768JB,21,10721,BOS,14027,PBI,-9,16,3,180,1197,-17
2018-01-01,B6,5,B6,N520JB,5,11618,EWR,11697,FLL,-5,11,10,171,1065,2
2018-08-01,B6,2911,B6,N633JB,2911,12478,JFK,12889,LAS,18,17,7,290,2248,-3
2018-09-01,B6,14,B6,N580JB,14,12954,LGB,12478,JFK,43,16,7,300,2465,47
2018-05-01,B6,1,B6,N952JB,1,12478,JFK,11697,FLL,1,20,8,142,1069,-17
2018-06-01,B6,1189,B6,N355JB,1189,10721,BOS,11278,DCA,15,29,10,67,399,17
2018-11-01,B6,531,B6,N613JB,531,14869,SLC,12954,LGB,-9,13,3,76,588,-27
2018-08-01,B6,430,B6,N793JB,430,14893,SMF,10721,BOS,-2,10,4,299,2636,-12
2018-10-01,B6,102,B6,N318JB,102,12478,JFK,10792,BUF,-1,29,3,56,301,-10
2018-08-01,B6,2889,B6,N663JB,2889,11618,EWR,14843,SJU,155,34,9,212,1608,172
2018-01-01,B6,3,B6,N965JB,3,12478,JFK,14843,SJU,28,28,4,200,1598,32
2018-04-01,B6,1,B6,N958JB,1,12478,JFK,11697,FLL,-3,15,4,150,1069,-22
2018-11-01,B6,530,B6,N653JB,530,14679,SAN,11697,FLL,2,20,6,258,2269,1
2018-05-01,B6,15,B6,N947JB,15,12478,JFK,14771,SFO,-6,23,7,348,2586,-27
2019-04-01,B6,120,B6,N648JB,120,13204,MCO,10257,ALB,58,12,3,129,1073,32
2019-06-01,B6,626,B6,N339JB,626,10821,BWI,10721,BOS,-10,16,4,59,369,-14
2019-04-01,B6,61,B6,N593JB,61,10721,BOS,14843,SJU,-1,17,5,212,1674,-4
2019-01-01,B6,33,B6,N317JB,33,10785,BTV,12478,JFK,46,9,5,52,266,26
2019-06-01,B6,624,B6,N969JT,624,12892,LAX,12478,JFK,-6,12,10,300,2475,-16
2019-11-01,B6,3,B6,N998JE,3,12478,JFK,14843,SJU,44,13,4,193,1598,21
2019-11-01,B6,1,B6,N789JB,1,12478,JFK,11697,FLL,4,25,9,162,1069,13
2019-05-01,B6,812,B6,N590JB,812,11697,FLL,11618,EWR,-6,11,5,146,1065,-28
2019-05-01,B6,865,B6,N975JT,865,10721,BOS,14635,RSW,4,26,8,180,1249,10
2019-12-01,B6,119,B6,N805JB,119,10257,ALB,13204,MCO,134,40,6,168,1073,158
2019-02-01,B6,6,B6,N523JB,6,11697,FLL,11618,EWR,28,42,9,150,1065,44
2019-08-01,B6,80,B6,N828JB,80,14570,RNO,12478,JFK,-3,10,12,279,2411,-20
2019-08-01,B6,81,B6,N828JB,81,12478,JFK,14570,RNO,-7,51,4,315,2411,-25
2019-02-01,B6,3,B6,N590JB,3,12478,JFK,14843,SJU,-1,22,6,193,1598,-17
2019-10-01,B6,311,B6,N178JB,311,10721,BOS,13930,ORD,33,14,13,135,867,20
2019-11-01,B6,4,B6,N998JE,4,14843,SJU,12478,JFK,25,9,12,204,1598,16
2019-05-01,B6,866,B6,N570JB,866,14635,RSW,10721,BOS,0,17,5,161,1249,-3
2019-02-01,B6,98,B6,N970JB,98,11292,DEN,12478,JFK,-10,12,5,195,1626,-19
2019-06-01,B6,620,B6,N929JB,620,14679,SAN,10721,BOS,12,18,5,296,2588,-4
2019-07-01,B6,62,B6,N597JB,62,14027,PBI,12953,LGA,-2,14,7,140,1035,-5
2019-02-01,B6,97,B6,N970JB,97,12478,JFK,11292,DEN,26,13,7,218,1626,-23
2019-01-01,B6,400,B6,N634JB,400,13495,MSY,10721,BOS,-3,8,3,151,1368,-21
2019-10-01,B6,2517,B6,N178JB,2517,10721,BOS,12478,JFK,18,19,7,44,187,-2
2019-05-01,B6,871,B6,N524JB,871,12478,JFK,14869,SLC,126,13,4,286,1990,103
2019-10-01,B6,2010,B6,N178JB,2010,12451,JAX,10721,BOS,-9,13,8,151,1010,10
2019-02-01,B6,4,B6,N586JB,4,14843,SJU,12478,JFK,-8,11,6,225,1598,-1
